AgentID,Interval 1,Interval 2,Interval 3,Interval 4,Interval 5,Interval 6,Interval 7,Interval 8,Interval 9,Interval 10,Interval 11,Interval 12,Interval 13,Interval 14,Interval 15,Interval 16,Interval 17,Interval 18,Interval 19,Interval 20,Interval 21,Interval 22,Interval 23,Interval 24,Interval 25,Interval 26,Interval 27,Interval 28,Interval 29,Interval 30,Interval 31,Interval 32,Interval 33,Interval 34,Interval 35,Interval 36,Interval 37,Interval 38,Interval 39,Interval 40,Interval 41,Interval 42,Interval 43,Interval 44,Interval 45,Interval 46,Interval 47,Interval 48,Interval 49,Interval 50,Interval 51,Interval 52,Interval 53,Interval 54,Interval 55,Interval 56,Interval 57,Interval 58,Interval 59,Interval 60,Interval 61,Interval 62,Interval 63,Interval 64,Interval 65,Interval 66,Interval 67,Interval 68,Interval 69,Interval 70,Interval 71,Interval 72,Interval 73,Interval 74,Interval 75,Interval 76,Interval 77,Interval 78,Interval 79,Interval 80,Interval 81,Interval 82,Interval 83,Interval 84,Interval 85,Interval 86,Interval 87,Interval 88,Interval 89,Interval 90,Interval 91,Interval 92,Interval 93,Interval 94,Interval 95,Interval 96,Interval 97,Interval 98,Interval 99,Interval 100,Interval 101,Interval 102,Interval 103,Interval 104,Interval 105,Interval 106,Interval 107,Interval 108,Interval 109,Interval 110,Interval 111,Interval 112,Interval 113,Interval 114,Interval 115,Interval 116,Interval 117,Interval 118,Interval 119,Interval 120,Interval 121,Interval 122,Interval 123,Interval 124,Interval 125,Interval 126,Interval 127,Interval 128,Interval 129,Interval 130,Interval 131,Interval 132,Interval 133,Interval 134,Interval 135,Interval 136,Interval 137,Interval 138,Interval 139
13,3,2.875,2.75,2.6875,2.65,2.625,2.678571,2.6875,2.694444,2.7,2.704545,2.708333,2.673077,2.642857,2.616667,2.59375,2.573529,2.555556,2.539474,2.525,2.511905,2.5,2.48913,2.479167,2.47,2.461539,2.453704,2.446429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,2.875,2.75,2.6875,2.65,2.625,2.607143,2.59375,2.583333,2.575,2.568182,2.5625,2.557692,2.553571,2.55,2.546875,2.544118,2.541667,2.539474,2.55,2.571429,2.579545,2.592391,2.609375,2.625,2.639423,2.652778,2.647321,2.642241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2.5,2.375,2.25,2.1875,2.2,2.208333,2.214286,2.203125,2.180556,2.2125,2.25,2.25,2.211539,2.205357,2.191667,2.210938,2.220588,2.208333,2.157895,2.125,2.130952,2.113636,2.11413,2.088542,2.055,2.024039,1.99537,1.96875,1.943966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2.25,2.125,2,1.9375,1.9,1.875,1.892857,1.875,1.861111,1.875,1.875,1.864583,1.875,1.901786,1.941667,1.976563,2.007353,2.020833,2.032895,2.04375,2.065476,2.073864,2.070652,2.067708,2.055,2.043269,2.032408,2.022321,2.012931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2.75,2.75,2.75,2.625,2.55,2.5,2.428571,2.40625,2.388889,2.375,2.386364,2.416667,2.403846,2.392857,2.383333,2.375,2.367647,2.361111,2.355263,2.35,2.333333,2.340909,2.342391,2.328125,2.315,2.302885,2.282408,2.254464,2.228448,2.204167,2.181452,2.160156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2.5,2.375,2.25,2.1875,2.15,2.125,2.178571,2.1875,2.166667,2.15,2.090909,2.083333,2.076923,2.071429,2.066667,2.0625,2.058824,2.055556,2.052632,2.05,2.047619,2.045455,2.043478,2.041667,2.04,2.038461,2.046296,2.053571,2.060345,2.066667,2.072581,2.078125,2.083333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2.5,2.375,2.333333,2.375,2.375,2.354167,2.339286,2.328125,2.319444,2.3125,2.318182,2.333333,2.326923,2.321429,2.316667,2.296875,2.294118,2.291667,2.289474,2.2875,2.285714,2.284091,2.282609,2.28125,2.28,2.278846,2.277778,2.285714,2.288793,2.2875,2.28629,2.292969,2.291667,2.290441,2.289286,2.288194,2.287162,2.286184,2.285256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2.75,2.6875,2.625,2.53125,2.475,2.4375,2.410714,2.40625,2.416667,2.4,2.386364,2.375,2.365385,2.357143,2.35,2.34375,2.338235,2.333333,2.328947,2.325,2.321429,2.318182,2.315217,2.3125,2.31,2.307692,2.305556,2.303571,2.301724,2.3,2.298387,2.296875,2.295455,2.294118,2.292857,2.291667,2.29054,2.289474,2.288461,2.2875,2.286585,2.285714,2.284884,2.284091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2.75,2.625,2.5,2.4375,2.4,2.375,2.428571,2.4375,2.444444,2.425,2.409091,2.395833,2.384615,2.375,2.366667,2.359375,2.352941,2.347222,2.328947,2.325,2.345238,2.375,2.391304,2.40625,2.42,2.432692,2.444444,2.4375,2.439655,2.441667,2.451613,2.453125,2.454545,2.463235,2.471429,2.479167,2.47973,2.476974,2.471154,2.465625,2.460366,2.455357,2.450581,2.446023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2.75,2.6875,2.625,2.53125,2.5,2.5,2.535714,2.5625,2.583333,2.6,2.613636,2.625,2.634615,2.642857,2.65,2.640625,2.625,2.604167,2.585526,2.56875,2.553571,2.551136,2.543478,2.53125,2.52,2.509615,2.5,2.5,2.49569,2.4875,2.479839,2.472656,2.465909,2.459559,2.453571,2.447917,2.442568,2.4375,2.432692,2.428125,2.42378,2.419643,2.421512,2.417614,2.413889,2.410326,2.406915,2.403646,2.40051,2.3975,2.394608,2.391827,2.389151,2.386574,2.384091,2.381696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,2.875,2.75,2.6875,2.7,2.75,2.785714,2.78125,2.75,2.725,2.715909,2.71875,2.721154,2.723214,2.725,2.726563,2.713235,2.701389,2.690789,2.68125,2.672619,2.6875,2.695652,2.6875,2.68,2.682692,2.694444,2.696429,2.702586,2.7125,2.721774,2.722656,2.715909,2.709559,2.703571,2.697917,2.706081,2.707237,2.701923,2.696875,2.692073,2.6875,2.68314,2.678977,2.675,2.671196,2.667553,2.664063,2.660714,2.6575,2.654412,2.651442,2.648585,2.645833,2.643182,2.640625,2.638158,2.635776,2.633475,2.63125,2.629098,2.627016,2.625,2.630859,2.636539,2.642045,2.643657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,2.875,2.75,2.6875,2.65,2.625,2.642857,2.640625,2.625,2.6125,2.613636,2.625,2.653846,2.678571,2.7,2.71875,2.727941,2.729167,2.717105,2.70625,2.696429,2.6875,2.679348,2.671875,2.665,2.663461,2.666667,2.660714,2.655172,2.65,2.645161,2.640625,2.636364,2.632353,2.632143,2.635417,2.638514,2.641447,2.644231,2.640625,2.643293,2.651786,2.648256,2.644886,2.641667,2.638587,2.635638,2.632813,2.630102,2.6275,2.625,2.622596,2.620283,2.618056,2.615909,2.613839,2.611842,2.609914,2.608051,2.60625,2.604508,2.602823,2.601191,2.599609,2.598077,2.596591,2.595149,2.59375,2.592391,2.591071,2.589789,2.588542,2.587329,2.589527,2.595,2.600329,2.60552,2.610577,2.615506,2.620312,2.625,2.626524,2.626506,2.625,2.623529,2.622093,2.62069,2.619318,2.617978,2.616667,2.615385,2.61413,2.612903,2.614362,2.617105,2.621094,2.625,2.626276,2.625,2.62375,2.622525,2.621324,2.620146,2.61899,2.617857,2.616745,2.615654,2.614583,2.613532,2.6125,2.611486,2.610491,2.609513,2.608553,2.607609,2.606681,2.605769,2.604873,,,,,,,,,,,,,,,,,,,,,
19,3,2.9375,2.875,2.78125,2.75,2.75,2.785714,2.78125,2.75,2.725,2.704545,2.6875,2.673077,2.660714,2.65,2.640625,2.639706,2.645833,2.638158,2.63125,2.625,2.630682,2.630435,2.625,2.63,2.639423,2.652778,2.647321,2.642241,2.6375,2.625,2.613281,2.609848,2.621324,2.632143,2.642361,2.64527,2.644737,2.641026,2.6375,2.637195,2.639881,2.636628,2.633523,2.630556,2.627717,2.625,2.622396,2.619898,2.6175,2.615196,2.612981,2.610849,2.608796,2.606818,2.604911,2.60307,2.601293,2.599576,2.597917,2.596312,2.594758,2.593254,2.591797,2.590385,2.589015,2.587687,2.586397,2.585145,2.583929,2.582747,2.581597,2.580479,2.579392,2.578333,2.577303,2.576299,2.57532,2.574367,2.573437,2.572531,2.571646,2.573795,2.578869,2.583823,2.588663,2.593391,2.59233,2.591292,2.590278,2.589286,2.588315,2.587366,2.586436,2.588158,2.592448,2.596649,2.598214,2.597222,2.60125,2.605198,2.609069,2.60801,2.606971,2.605952,2.604953,2.603972,2.603009,2.602064,2.601136,2.600225,2.59933,2.598451,2.597588,2.596739,2.595905,2.595085,2.59428,2.593488,2.592708,2.591942,2.591188,2.590447,2.589718,2.589,2.588294,2.587598,2.588867,2.592054,2.595192,2.598282,2.601326,2.600564,2.600746,2.601852,2.604779,2.605839,2.605072,2.604316
